Timestamp,UnitName,DNA,DNE,AllySector,EnemySector,NearestEType,GreatestAngle,SmallestAngle,Vx,Vz,Px,Pz,ElevationDiff,Elevation,Health,PercentForestAtEnemy,PercentForestAtSol,PercentForestNorthSector,PercentForestSouthSector,PercentForestEastSector,PercentForestWestSector
12:01:25.865000,Soldiergunner,85.70243928850358,283.67859912231484,[],"[2, 2]",Rifleman,0.01889955606733151,0.004416747879792087,0,0,9459.65,16576.9,0.7122498013146211,5.18608,0,[0.177394],[0.998892],0.9977393846153847,0.9984475333333334,0.9982032222222222,0.9977809000000001
12:01:28.700900,Soldier1,7.509620496403223,188.75941857295345,"[3, 3]","[2, 2]",Rifleman,0.031542716066953254,0.008317084541884947,0.342478,4.38666,9524.5,16647.2,0.7248898985092853,5.12094,0,[0.177394],[0.997206],0.9968034615384614,0.9954472666666666,0.9981733333333334,0.9949897
12:01:28.790100,Soldier2,7.509620496403223,193.24332045377312,"[1, 3]","[2, 2]",Rifleman,0.015749853638802547,0.010929510018524725,-0.18459,4.90104,9524.88,16639.7,0.7291030676958346,5.09941,0,[0.177394],[0.996314],0.9968010769230768,0.9954081333333333,0.9977073333333332,0.9946579
12:01:28.872500,Soldier3,40.93822297071713,228.50218817333018,"[1, 1]","[2, 2]",Rifleman,0.04729256970575067,0.0192465945604608,3.92272,3.85517,9500.41,16614.1,0.664081274098377,5.442,0,[0.177394],[0.993656],0.9949824615384616,0.9967540666666665,0.9957744444444443,0.9971866
12:01:28.913700,Soldiergunner,84.52479162943878,272.2537825265229,[],"[2, 2]",Rifleman,0.02650803746784405,0.024492809228517397,4.12346,3.63966,9469.52,16583,0.7294796527408367,5.09749,0,[0.177394],[0.998394],0.9974919230769232,0.9984236,0.9978176666666667,0.998049
12:01:34.688400,Soldier1,13.258057927162339,164.75659288781108,"[3, 3]","[2, 2]",Rifleman,0.022884298041390874,0.005856907095302567,0.0071914,4.4,9539.84,16666.6,0.7504373581716801,4.99177,0,[0.177394],[0.997914],0.9964085384615384,0.9972879333333334,0.9983044444444444,0.9957762000000001
12:01:34.777700,Soldier2,13.258057927162339,177.42420240767578,"[1, 3]","[2, 2]",Rifleman,0.04172995624042461,0.013271195906636401,0.753118,0.711249,9532.15,16655.8,0.7461355282602251,5.01329,0,[0.177394],[0.998038],0.997191923076923,0.9967439333333332,0.9985156666666667,0.9953201999999999
12:01:34.866900,Soldier3,38.81237431541611,201.7387620166235,"[1, 1, 3]","[2, 2]",Rifleman,0.06461425428181176,0.019128103001963905,0,0,9518.32,16634.3,0.7326843963781012,5.08118,0,[0.177394],[0.994444],0.9961013076923076,0.9949648,0.9973437777777777,0.9958217000000001
12:01:34.928700,Soldiergunner,76.50375219556058,239.43059203034042,[1],"[2, 2]",Rifleman,0.06087941738761687,0.026147777478616633,3.7586,3.77451,9492.63,16606.4,0.6479334138386675,5.53059,0,[0.177394],[0.995895],0.9952523076923074,0.9978816666666667,0.9955937777777777,0.9977793
12:01:40.696600,Soldier1,15.49988387053276,138.97645448060598,"[3, 3]","[2, 2]",Rifleman,0.017298465533394047,0.0035678909053021074,3.09695,3.12553,9558.48,16684.8,0.6891013475014227,5.30753,0,[0.177394],[0.996901],0.9584880769230769,0.998276,0.9949373333333335,0.9966222
