terrainid,tx,ty,tz,urban,open,closed
164,1000290,0,1003370,7.98411e-08,5.52764e-112,1
165,1000300,0,1003370,8.67914e-08,4.81456e-111,1
166,1000310,0,1003370,6.36467e-08,3.08011e-113,1
167,1000320,0,1003370,5.10735e-08,1.36721e-115,1
168,1000330,0,1003370,4.03982e-08,1.94519e-117,1
169,1000340,0,1003370,3.73408e-08,8.67094e-118,1
170,1000350,0,1003370,4.26661e-08,3.17168e-117,1
171,1000360,0,1003370,3.85233e-08,2.16007e-119,1
172,1000370,0,1003370,2.73853e-08,5.66982e-122,1
173,1000380,0,1003370,1.39307e-08,1.50269e-123,1
174,1000390,0,1003370,1.16441e-08,1.17925e-124,1
175,1000400,0,1003370,2.24427e-08,1.32486e-124,1
176,1000410,0,1003370,3.28513e-08,2.74001e-122,1
177,1000420,0,1003370,3.42336e-08,1.6075e-118,1
178,1000430,0,1003370,3.91905e-08,1.65305e-116,1
179,1000440,0,1003370,5.40118e-08,9.56749e-115,1
180,1000450,0,1003370,6.31452e-08,2.08997e-113,1
181,1000460,0,1003370,7.16361e-08,4.20643e-112,1
182,1000470,0,1003370,6.03748e-08,6.5394e-112,1
183,1000480,0,1003370,4.93572e-08,2.97272e-113,1
184,1000490,0,1003370,9.04757e-08,1.14911e-109,1
185,1000500,0,1003370,1.78643e-07,1.16936e-103,1
186,1000510,0,1003370,6.28394e-07,4.67126e-92,0.999999
187,1000520,0,1003370,4.39201e-06,1.81945e-75,0.999996
188,1000530,0,1003370,5.19939e-05,5.46637e-54,0.999948
189,1000540,0,1003370,0.000420197,2.47098e-35,0.99958
190,1000550,0,1003370,0.00230071,8.89172e-21,0.997699
191,1000560,0,1003370,0.00695701,2.66272e-11,0.993043
192,1000570,0,1003370,0.013994,4.12543e-05,0.985965
193,1000580,0,1003370,0.0239519,0.460083,0.515965
194,1000590,0,1003370,0.0236317,0.960004,0.0163647
195,1000600,0,1003370,0.0185765,0.972644,0.00877945
196,1000610,0,1003370,0.0180659,0.969994,0.0119404
197,1000620,0,1003370,0.0181105,0.963663,0.0182269
198,1000630,0,1003370,0.0178924,0.959665,0.022443
199,1000640,0,1003370,0.0178875,0.957517,0.0245959
200,1000650,0,1003370,0.0176909,0.953137,0.0291718
201,1000660,0,1003370,0.0174644,0.951121,0.0314144
202,999660,0,1003380,2.294e-05,2.37972e-59,0.999977
203,999670,0,1003380,0.000854667,7.61547e-28,0.999145
204,999680,0,1003380,0.00749802,4.00526e-09,0.992502
205,999690,0,1003380,0.0151902,0.00364462,0.981165
206,999700,0,1003380,0.0169446,0.0243237,0.958732
207,999710,0,1003380,0.0163521,0.00933547,0.974312
208,999720,0,1003380,0.0147225,0.00147324,0.983804
209,999730,0,1003380,0.0131743,0.000253746,0.986572
210,999740,0,1003380,0.0103604,3.87527e-06,0.989636
211,999750,0,1003380,0.00933477,4.4814e-07,0.990665
212,999760,0,1003380,0.00830396,7.86462e-08,0.991696
213,999770,0,1003380,0.00754342,2.06299e-08,0.992457
214,999780,0,1003380,0.00733093,1.23088e-08,0.992669
215,999790,0,1003380,0.00735727,1.35662e-08,0.992643
216,999800,0,1003380,0.00724155,1.02562e-08,0.992758
217,999810,0,1003380,0.00657948,1.4292e-09,0.993421
218,999820,0,1003380,0.00566091,1.06188e-10,0.994339
219,999830,0,1003380,0.00516024,3.20624e-11,0.99484
220,999840,0,1003380,0.00602024,3.98246e-10,0.99398
221,999850,0,1003380,0.00756244,1.50187e-08,0.992438
222,999860,0,1003380,0.00855009,8.4336e-08,0.99145
223,999870,0,1003380,0.00968268,6.26495e-07,0.990317
224,999880,0,1003380,0.00906611,2.29489e-07,0.990934
225,999890,0,1003380,0.00629885,6.29429e-10,0.993701
226,999900,0,1003380,0.0042571,1.18131e-12,0.995743
227,999910,0,1003380,0.00338014,2.53581e-14,0.99662
228,999920,0,1003380,0.00350746,3.64974e-14,0.996493
229,999930,0,1003380,0.00397299,2.00647e-13,0.996027
230,999940,0,1003380,0.00489873,5.50479e-12,0.995101
231,999950,0,1003380,0.00510306,1.35496e-11,0.994897
232,999960,0,1003380,0.00581966,1.21442e-10,0.99418
233,999970,0,1003380,0.00625159,3.77432e-10,0.993748
234,999980,0,1003380,0.00678846,1.38154e-09,0.993212
235,999990,0,1003380,0.00699005,2.43483e-09,0.99301
236,1000000,0,1003380,0.00727536,4.43304e-09,0.992725
237,1000010,0,1003380,0.00811082,1.70658e-08,0.991889
238,1000020,0,1003380,0.00708671,1.35538e-09,0.992913
239,1000030,0,1003380,0.0047252,1.96663e-12,0.995275
240,1000040,0,1003380,0.00277906,1.61518e-16,0.997221
241,1000050,0,1003380,0.00138486,1.81768e-22,0.998615
242,1000060,0,1003380,0.000742595,1.78418e-28,0.999257
243,1000070,0,1003380,0.000478336,1.42215e-32,0.999522
244,1000080,0,1003380,0.00018967,1.07214e-40,0.99981
245,1000090,0,1003380,3.74793e-05,3.87429e-55,0.999963
246,1000100,0,1003380,4.43133e-06,1.96066e-74,0.999996
247,1000110,0,1003380,1.48528e-06,2.87465e-84,0.999999
248,1000120,0,1003380,3.85743e-06,1.45448e-75,0.999996
249,1000130,0,1003380,4.98928e-05,1.60202e-52,0.99995
250,1000140,0,1003380,0.000617969,5.98731e-30,0.999382
251,1000150,0,1003380,0.00117161,2.13032e-25,0.998828
252,1000160,0,1003380,0.000120311,4.62306e-47,0.99988
253,1000170,0,1003380,3.22413e-06,4.35609e-80,0.999997
254,1000180,0,1003380,1.15139e-07,6.04925e-108,1
255,1000190,0,1003380,1.80684e-08,1.99519e-122,1
256,1000200,0,1003380,9.54705e-09,3.15238e-127,1
257,1000210,0,1003380,8.09221e-09,1.55543e-128,1
258,1000220,0,1003380,8.81547e-09,2.21779e-127,1
259,1000230,0,1003380,8.64778e-09,1.00871e-127,1
260,1000240,0,1003380,1.02308e-08,1.13493e-126,1
261,1000250,0,1003380,1.03622e-08,1.24471e-126,1
262,1000260,0,1003380,1.7021e-08,1.27894e-121,1
263,1000270,0,1003380,4.79114e-08,1.45829e-112,1
264,1000280,0,1003380,1.65072e-07,1.10619e-104,1
265,1000290,0,1003380,2.81825e-07,3.56196e-102,1
266,1000300,0,1003380,2.16632e-07,4.25299e-103,1
267,1000310,0,1003380,1.37769e-07,7.45199e-107,1
268,1000320,0,1003380,9.14043e-08,1.31402e-110,1
269,1000330,0,1003380,6.92883e-08,1.28782e-111,1
270,1000340,0,1003380,7.35382e-08,4.51396e-110,1
271,1000350,0,1003380,9.54082e-08,5.50361e-109,1
272,1000360,0,1003380,1.08289e-07,5.21663e-110,1
273,1000370,0,1003380,5.765e-08,8.45291e-114,1
274,1000380,0,1003380,3.32416e-08,6.18607e-117,1
275,1000390,0,1003380,3.24979e-08,5.22043e-119,1
276,1000400,0,1003380,4.13509e-08,6.19316e-118,1
277,1000410,0,1003380,4.2191e-08,1.61535e-117,1
278,1000420,0,1003380,4.89629e-08,1.07173e-115,1
279,1000430,0,1003380,5.17272e-08,6.56256e-115,1
280,1000440,0,1003380,5.27667e-08,3.77726e-114,1
281,1000450,0,1003380,7.03152e-08,1.94571e-112,1
282,1000460,0,1003380,9.15031e-08,2.09636e-110,1
283,1000470,0,1003380,7.66079e-08,8.73702e-110,1
284,1000480,0,1003380,5.91683e-08,5.33717e-112,1
285,1000490,0,1003380,8.23743e-08,2.57195e-110,1
286,1000500,0,1003380,2.61978e-07,7.05011e-100,1
287,1000510,0,1003380,1.56668e-06,1.41231e-83,0.999998
288,1000520,0,1003380,1.89462e-05,9.48321e-63,0.999981
289,1000530,0,1003380,0.000255455,4.54143e-40,0.999745
290,1000540,0,1003380,0.00169498,9.41988e-23,0.998305
291,1000550,0,1003380,0.00566348,2.27481e-12,0.994337
292,1000560,0,1003380,0.0116276,9.60424e-07,0.988371
293,1000570,0,1003380,0.0176487,0.00384392,0.978507
294,1000580,0,1003380,0.0246371,0.762354,0.213009
295,1000590,0,1003380,0.0224209,0.968142,0.00943758
296,1000600,0,1003380,0.0181934,0.973354,0.00845252
297,1000610,0,1003380,0.0180935,0.969664,0.012242
298,1000620,0,1003380,0.0180136,0.964181,0.0178049
299,1000630,0,1003380,0.0179253,0.957732,0.0243431
300,1000640,0,1003380,0.0177448,0.950815,0.0314402
301,1000650,0,1003380,0.0174594,0.950264,0.0322768
302,1000660,0,1003380,0.0171499,0.953729,0.0291215
303,999660,0,1003390,0.000101561,3.52945e-47,0.999898
304,999670,0,1003390,0.00250632,3.26554e-19,0.997494
305,999680,0,1003390,0.0131708,0.000102926,0.986726
306,999690,0,1003390,0.0182902,0.0651087,0.916601
307,999700,0,1003390,0.0173914,0.0272804,0.955328
308,999710,0,1003390,0.0148641,0.00200338,0.983133
309,999720,0,1003390,0.0145338,0.00118485,0.984281
310,999730,0,1003390,0.0126337,8.78678e-05,0.987278
311,999740,0,1003390,0.0104057,2.82096e-06,0.989591
312,999750,0,1003390,0.0086741,1.70159e-07,0.991326
