X,Z,preditcedLethality
9490,16070,3.073025852
9490,16080,3.526648372
9490,16090,3.505084015
9490,16100,3.130846745
9490,16110,2.344687204
9490,16120,1.203259498
9500,15930,-11.42523414
9500,15940,-9.993261604
9500,15950,-6.431090496
9500,15960,-2.85686553
9500,15970,-0.813099906
9500,15980,1.253517148
9500,15990,2.850684214
9500,16000,3.333947237
9500,16010,3.148256145
9500,16020,2.52017485
9500,16030,1.469987025
9500,16040,0.019050112
9500,16050,0.637239436
9500,16060,1.94483657
9500,16070,2.870147002
9500,16080,3.426783941
9500,16090,3.500279818
9500,16100,3.275436776
9500,16110,2.478851944
9500,16120,1.365549679
9510,15930,-11.36454361
9510,15940,-9.5702933
9510,15950,-5.788030659
9510,15960,-3.17999832
9510,15970,-0.984755056
9510,15980,0.664573733
9510,15990,2.390167535
9510,16000,3.399290334
9510,16010,3.294920492
9510,16020,2.757920874
9510,16030,1.795036615
9510,16040,0.444404738
9510,16050,0.226637442
9510,16060,1.627489115
9510,16070,2.657150022
9510,16080,3.309906852
9510,16090,3.536578151
9510,16100,3.352202154
9510,16110,2.825313882
9510,16120,1.78665268
9520,15930,-11.19180295
9520,15940,-9.133566795
9520,15950,-5.65947305
9520,15960,-3.120877174
9520,15970,-1.105872804
9520,15980,0.558460997
9520,15990,2.171136985
9520,16000,3.474354566
9520,16010,3.468724531
9520,16020,2.980524126
9520,16030,2.106994826
9520,16040,0.845121785
9520,16050,-0.210080145
9520,16060,1.281704164
9520,16070,2.404623556
9520,16080,3.193328448
9520,16090,3.594070555
9520,16100,3.564942989
9520,16110,3.07026135
9520,16120,2.244299117
9530,15930,-11.30678904
9530,15940,-9.836860099
9530,15950,-6.058849433
9530,15960,-3.234374
9530,15970,-1.018846922
9530,15980,0.69217964
9530,15990,2.825671112
9530,16000,3.566740019
9530,16010,3.557729618
9530,16020,3.170950838
9530,16030,2.378680736
9530,16040,1.223059863
9530,16050,-0.292709115
9530,16060,0.918440225
9530,16070,2.155088445
9530,16080,3.045880539
9530,16090,3.550909318
9530,16100,3.709447554
9530,16110,3.40105657
9530,16120,2.710842742
9540,15930,-12.66470299
9540,15940,-9.945043497
9540,15950,-6.744201653
9540,15960,-2.19765533
9540,15970,0.382558581
9540,15980,2.196899146
9540,15990,3.146359821
9540,16000,3.735119224
9540,16010,3.771352945
9540,16020,3.400032158
9540,16030,2.67091197
9540,16040,1.574518752
9540,16050,0.148731159
9540,16060,0.526126313
9540,16070,1.869443045
9540,16080,2.845619505
9540,16090,3.463569497
9540,16100,3.756337865
9540,16110,3.634459276
9540,16120,3.071556046
9550,15930,-13.46053212
9550,15940,-10.08271723
9550,15950,-5.60885736
9550,15960,-2.761320009
9550,15970,-0.47001069
9550,15980,1.925982891
9550,15990,3.42585323
9550,16000,3.962887604
9550,16010,3.928620348
9550,16020,3.654133102
9550,16030,2.932235389
9550,16040,1.91009202
9550,16050,0.565920096
9550,16060,0.103287955
9550,16070,1.531764712
9550,16080,2.61027923
9550,16090,3.357503227
9550,16100,3.765751232
9550,16110,3.833604392
9550,16120,3.506335603
9560,15930,-14.67939781
9560,15940,-9.553396983
9560,15950,-4.922118991
9560,15960,-2.4566808
9560,15970,-0.214184056
9560,15980,1.652493446
9560,15990,3.30240866
9560,16000,4.168763948
9560,16010,4.154171246
9560,16020,3.830409976
9560,16030,3.173110647
9560,16040,2.213542487
9560,16050,0.96170489
9560,16060,-0.343250846
9560,16070,1.181236723
9560,16080,2.359595405
9560,16090,3.224982277
9560,16100,3.823343368
9560,16110,3.950437242
9560,16120,3.769885553
9570,15930,-13.4641468
9570,15940,-9.073271115
9570,15950,-4.395922489
9570,15960,-1.924121294
9570,15970,-0.062931054
9570,15980,1.427002445
9570,15990,3.043443717
9570,16000,4.365915878
9570,16010,4.253828964
9570,16020,3.920112573
9570,16030,3.379871561
9570,16040,2.515903419
9570,16050,1.336150313
9570,16060,-0.159195564
9570,16070,0.807225749
9570,16080,2.092538359
9570,16090,3.04613657
9570,16100,3.634757799
9570,16110,3.994363248
9570,16120,3.919312076
9580,15930,-12.65043448
9580,15940,-8.174835316
9580,15950,-4.016973308
9580,15960,-1.948118849
9580,15970,-0.026971127
9580,15980,1.523777377
9580,15990,3.688689674
9580,16000,4.636589163
9580,16010,4.501320515
9580,16020,4.130348409
9580,16030,3.662258365
9580,16040,2.798899734
9580,16050,1.683763133
9580,16060,0.27837591
9580,16070,0.400824188
9580,16080,1.773733187
9580,16090,2.817658009
9580,16100,3.480200647
9580,16110,3.888729773
9580,16120,3.898980005
9590,15930,-11.49786543
9590,15940,-7.587918626
9590,15950,-3.961906962
9590,15960,-0.342335793
9590,15970,1.739511476
9590,15980,3.2551916
9590,15990,4.498467416
9590,16000,4.932181397
9590,16010,4.68777205
9590,16020,4.337391386
9590,16030,3.84259853
9590,16040,3.045777656
9590,16050,2.009587921
9590,16060,0.684877716
9590,16070,-0.027443695
9590,16080,1.4277492
9590,16090,2.535455132
9590,16100,3.311777836
9590,16110,3.872884684
9590,16120,3.991685901
